"filename", "language", "CSS", "JavaScript", "XML", "JavaScript JSX", "JSON", "comment", "blank", "total"
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\validationSchema\plateValidationSchema.js", "JavaScript", 0, 18, 0, 0, 0, 0, 2, 20
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\validationSchema\rodValidationSchema.js", "JavaScript", 0, 23, 0, 0, 0, 0, 2, 25
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\validationSchema\tubeValidationSchema.js", "JavaScript", 0, 27, 0, 0, 0, 0, 2, 29
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\navSidebar\NavSidebar.jsx", "JavaScript JSX", 0, 0, 0, 110, 0, 2, 4, 116
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\navSidebar\NavSidebar.module.css", "CSS", 96, 0, 0, 0, 0, 5, 13, 114
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\notification\Notification.jsx", "JavaScript JSX", 0, 0, 0, 254, 0, 0, 15, 269
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\notification\css\Notification.module.css", "CSS", 162, 0, 0, 0, 0, 4, 7, 173
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\notification\service\notificationManager.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\order\OrderItem.jsx", "JavaScript JSX", 0, 0, 0, 550, 0, 4, 28, 582
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\order\OrderList.jsx", "JavaScript JSX", 0, 0, 0, 85, 0, 0, 6, 91
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\order\OrderTable.jsx", "JavaScript JSX", 0, 0, 0, 185, 0, 0, 22, 207
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\order\css\OrderItem.module.css", "CSS", 177, 0, 0, 0, 0, 4, 10, 191
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\order\css\OrderList.module.css", "CSS", 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\order\css\OrderTable.module.css", "CSS", 154, 0, 0, 0, 0, 4, 15, 173
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\order\service\orderManager.js", "JavaScript", 0, 108, 0, 0, 0, 2, 4, 114
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\order\service\validationSchema\orderItemValidationSchema.js", "JavaScript", 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\recycling\RecycleItem.jsx", "JavaScript JSX", 0, 0, 0, 364, 0, 0, 26, 390
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\recycling\RecycleList.jsx", "JavaScript JSX", 0, 0, 0, 94, 0, 0, 5, 99
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\recycling\WTCList.jsx", "JavaScript JSX", 0, 0, 0, 159, 0, 0, 20, 179
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\recycling\css\RecycleItem.module.css", "CSS", 158, 0, 0, 0, 0, 4, 7, 169
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\recycling\css\RecycleList.module.css", "CSS", 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\recycling\css\WTCList.module.css", "CSS", 97, 0, 0, 0, 0, 4, 12, 113
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\recycling\service\recycleManager.js", "JavaScript", 0, 58, 0, 0, 0, 0, 4, 62
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\recycling\service\validationSchema\recycleValidationSchema.js", "JavaScript", 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\recycling\service\validationSchema\wasteValidationSchema.js", "JavaScript", 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\Contact.jsx", "JavaScript JSX", 0, 0, 0, 38, 0, 0, 3, 41
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\DepartmentCost.jsx", "JavaScript JSX", 0, 0, 0, 288, 0, 0, 6, 294
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\Settings.jsx", "JavaScript JSX", 0, 0, 0, 85, 0, 0, 10, 95
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\User.jsx", "JavaScript JSX", 0, 0, 0, 145, 0, 0, 14, 159
